Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,300.0,Wedding,400.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Low,20.0
Meat,400.0,Corporate,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Vegetables,491.0,Birthday,497.0,Refrigerated,Regular,Summer,Finger Food,Rural,High,32.0
Meat,220.0,Birthday,300.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Meat,350.0,Birthday,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Meat,300.0,SOCIAL GATHERING,400.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,40.0
Vegetables,302.0,Social Gathering,371.0,Refrigerated,Regular,Summer,Buffet,Rural,Low,27.0
Meat,350.0,corporate,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,25.0
Meat,300.0,Corporate,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,15.0
Fruits,450.0,Corporate,500.0,Room Temperature,Occasional,Winter,Finger Food,Urban,High,30.0
Meat,434.0,Corporate,495.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Low,36.0
Meat,250.0,Corporate,350.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Meat,450.0,Birthday,500.0,Refrigerated,Regular,Summer,Finger Food,Urban,High,30.0
Meat,434.0,Wedding,495.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Low,36.0
Meat,280.0,Birthday,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15.0
Meat,280.0,Corporate,480.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15.0
Meat,280.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15.0
Meat,429.0,Corporate,496.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,42.0
Meat,320.0,Corporate,400.0,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,
Meat,,Corporate,,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,45.0
Fruits,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20.0
Dairy Products,765.0,Birthday,300.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15.0
 Fruits ,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Buffet,Rural,Moderate,20.0
Dairy Products,,Corporate,400.0,Room Temperature,Regular,Summer,Buffet,Suburban,High,30.0
Dairy Products,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30.0
Baked Goods,430.0,Social Gathering,,Room Temperature,Regular,Winter,Buffet,Urban,Low,
Fruits,300.0,Birthday,,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Fruits,320.0,Corporate,400.0,Room Temperature,Occasional,All Seasons,Buffet,Rural,Moderate,25.0
Baked Goods,280.0,Wedding,350.0, Room Temperature ,Regular,Winter,Finger Food,Urban,Moderate,20.0
Vegetables,350.0,Birthday,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,453.0,Social Gathering,484.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54.0
Vegetables,300.0,Wedding,400.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Baked Goods,320.0,Corporate,,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30.0
Baked Goods,300.0,Corporate,400.0,Room Temperature,Occasional,All Seasons,Buffet,Suburban,High,40.0
Meat,350.0,Wedding,450.0,Refrigerated,Occasional,All Seasons,Buffet,Suburban,High,40.0
Baked Goods,250.0,Corporate,350.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,10.0
Meat,220.0,Wedding,,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Meat,220.0,Birthday,300.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Meat,250.0,Corporate,350.0,Refrigerated,Regular,Winter,Buffet,Urban,Low,10.0
Fruits,250.0,Corporate,350.0,REFRIGERATED,Regular,Winter,Buffet,Urban,Low,10.0
Meat,220.0,Corporate,300.0,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,15.0
Meat,270.0,Corporate,400.0,refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Meat,280.0,Birthday,350.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Fruits,300.0,Wedding,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,Winter,Buffet,Rural,High,40.0
Baked Goods,280.0,BIRTHDAY,400.0,Room Temperature,Regular,Summer,Buffet,Urban,Moderate,25.0
Vegetables,450.0,Corporate,500.0,Refrigerated,Regular,Summer,Finger Food,Suburban,High,30.0
Meat,280.0,Birthday,480.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,15.0
Meat,380.0,Corporate,480.0,Refrigerated,Occasional,Summer,Buffet,Suburban,Moderate,30.0
Vegetables,320.0,Birthday,480.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,40.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,25.0
Vegetables,220.0,Social Gathering,300.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20.0
dairy products,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10.0
Baked Goods,,Social Gathering,350.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,35.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Baked Goods,280.0,Birthday,350.0,ROOM TEMPERATURE,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Low,
Meat,250.0,Wedding,350.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,20.0
Meat,280.0,SOCIAL GATHERING,350.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,Low,20.0
Vegetables,350.0, Wedding ,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
Meat,400.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,40.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Dairy Products,250.0,Social Gathering,480.0,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20.0
Dairy Products,320.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35.0
Dairy Products,350.0,Wedding,450.0, Room Temperature ,Regular,All Seasons,Finger Food,Rural,Moderate,20.0
Dairy Products,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,50.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40.0
Baked Goods,250.0,Birthday,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,25.0
Baked Goods,250.0,Corporate,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
baked goods,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Fruits,,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Baked Goods,247.0,Corporate,348.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50.0
Dairy Products,380.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Fruits,400.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50.0
Fruits,250.0,Wedding,350.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,
Meat,320.0,Social Gathering,400.0,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,25.0
Meat,320.0,Corporate,400.0,Refrigerated,Occasional,All Seasons,Finger Food,Urban,Moderate,25.0
Fruits,280.0,Birthday,350.0,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Moderate,20.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,15.0
Vegetables,290.0,Wedding,,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,27.0
Fruits,488.0,Corporate,498.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,63.0
Vegetables,220.0,Birthday,,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15.0
Meat,,Wedding,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Fruits,300.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40.0
 Fruits ,400.0,Corporate,450.0,Room Temperature,Occasional,All Seasons,Buffet,Urban,Moderate,30.0
Fruits,342.0,Birthday,405.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29.0
Meat,292.0,Social Gathering,470.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,50.0
Fruits,320.0,wedding,,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Low,15.0
Meat,350.0,Corporate,450.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,380.0,Corporate,,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Baked Goods,250.0,Social Gathering,350.0, Room Temperature ,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Baked Goods,247.0,Social Gathering,348.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,16.0
Dairy Products,397.0,Wedding,482.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,31.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,15.0
Baked Goods,280.0,Wedding,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15.0
Baked Goods,320.0,Corporate,480.0,Room Temperature,Regular,Summer,Buffet,Suburban,High,40.0
VEGETABLES,280.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15.0
Baked Goods,434.0,Wedding,495.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,36.0
Meat,300.0,Corporate,400.0,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,275.0,Birthday,388.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16.0
Baked Goods,400.0,Wedding,500.0,room temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,40.0
Vegetables,250.0,Social Gathering,480.0,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20.0
Fruits,300.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,40.0
Fruits,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Vegetables,342.0,Corporate,405.0,Refrigerated,Occasional,Winter,Finger Food,Rural,Moderate,29.0
Baked Goods,320.0,Birthday,480.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,
Fruits,488.0,Social Gathering,498.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,63.0
Baked Goods,280.0,Corporate,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25.0
Baked Goods,280.0,Birthday,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20.0
Fruits,280.0,Corporate,480.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,15.0
Dairy Products,300.0,Wedding,400.0,room temperature,Regular,Summer,Finger Food,Suburban,Low,20.0
Meat,300.0,Social Gathering,450.0,refrigerated,Regular,All Seasons,Finger Food,Suburban,High,35.0
Dairy Products,280.0,Wedding,480.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,15.0
Fruits,439.0,Social Gathering,459.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39.0
Dairy Products,380.0,WEDDING,480.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,10.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
Baked Goods,247.0,Birthday,348.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,16.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15.0
Dairy Products,280.0,Wedding,480.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,15.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Vegetables,400.0,Corporate,,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,320.0,Social Gathering,,Room Temperature,Regular,Summer,Buffet,Rural,High,40.0
Fruits,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20.0
Fruits,438.0,corporate,493.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,35.0
Baked Goods,,Social Gathering,300.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15.0
Fruits,320.0,birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Meat,250.0,Social Gathering,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Fruits,400.0,Corporate,350.0,ROOM TEMPERATURE,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,350.0,Corporate,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,20.0
Dairy Products,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30.0
Dairy Products,300.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40.0
Dairy Products,488.0,CORPORATE,498.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,63.0
Dairy Products,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Vegetables,230.0,Social Gathering,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,30.0
Dairy Products,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Baked Goods,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Baked Goods,208.0,WEDDING,282.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22.0
Baked Goods,350.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35.0
Baked Goods,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20.0
Dairy Products,350.0,corporate,450.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Dairy Products,240.0,Social Gathering,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,20.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,220.0,Corporate,,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Dairy Products,400.0,CORPORATE,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Dairy Products,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Baked Goods,250.0,Social Gathering,350.0,Room Temperature,Occasional,All Seasons,Buffet,Rural,Moderate,20.0
Meat,350.0,Social Gathering,450.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,30.0
Dairy Products,,Birthday,400.0, Room Temperature ,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25.0
Dairy Products,,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,15.0
Dairy Products,453.0,Birthday,484.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,54.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Fruits,220.0,Social Gathering,300.0, Room Temperature ,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Baked Goods,208.0,Birthday,282.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,22.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,300.0,Corporate,,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20.0
MEAT,320.0,Wedding,400.0,Refrigerated,Occasional,Winter,Buffet,Rural,High,30.0
Meat,300.0,Birthday,400.0,Refrigerated,Regular,Summer,Buffet,Suburban,High,40.0
Meat,302.0,Wedding,371.0,Refrigerated,Regular,All Seasons,Buffet,Suburban,Low,27.0
Meat,250.0,Wedding,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35.0
Fruits,320.0,Social Gathering,480.0,Refrigerated,Regular,Winter,Buffet,Rural,High,40.0
Meat,320.0,Corporate,400.0,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25.0
Baked Goods,284.0,Birthday,443.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,32.0
Meat,280.0,Wedding,,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Low,20.0
Meat,453.0,WEDDING,484.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,
Meat,400.0,Birthday,500.0,refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25.0
Meat,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Vegetables,434.0, Wedding ,495.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,36.0
Meat,300.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Fruits,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20.0
Vegetables,400.0,CORPORATE,,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,45.0
Meat,300.0,Corporate,400.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,25.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,25.0
Fruits,412.0,Birthday,478.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,38.0
Fruits,491.0,Birthday,497.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,
Meat,300.0,Social Gathering,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,
Fruits,270.0,Birthday,400.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Baked Goods,220.0,WEDDING,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,45.0
Dairy Products,,Corporate,350.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,25.0
Vegetables,300.0,Corporate,400.0,room temperature,Regular,Summer,Finger Food,Rural,Moderate,15.0
Dairy Products,380.0,Wedding,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
Dairy Products,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,35.0
Baked Goods,280.0,BIRTHDAY,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,15.0
Vegetables,350.0,Social Gathering,450.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Low,20.0
Baked Goods,220.0,Social Gathering,300.0, Room Temperature ,Regular,Winter,Buffet,Suburban,Low,10.0
Dairy Products,320.0,Wedding,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,25.0
Fruits,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Baked Goods,412.0,corporate,478.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,38.0
Baked Goods,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15.0
Fruits,350.0,Wedding,,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Vegetables,320.0,Birthday,400.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Vegetables,250.0,Wedding,350.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,320.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30.0
Fruits,429.0,Social Gathering,496.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,
